Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,Iris-setosa
2,4.9,3.0,1.4,0.2,Iris-setosa
3,4.7,3.2,1.3,0.2,Iris-setosa
4,4.6,3.1,1.5,0.2,Iris-setosa
5,5.0,3.6,1.4,0.2,Iris-setosa
6,5.4,3.9,1.7,0.4,Iris-setosa
7,4.6,3.4,1.4,0.3,Iris-setosa
8,5.0,3.4,1.5,0.2,Iris-setosa
9,4.4,2.9,1.4,0.2,Iris-setosa
10,4.9,3.1,1.5,0.1,Iris-setosa
11,5.4,3.7,1.5,0.2,Iris-setosa
12,4.8,3.4,1.6,0.2,Iris-setosa
13,4.8,3.0,1.4,0.1,Iris-setosa
14,4.3,3.0,1.1,0.1,Iris-setosa
15,5.8,4.0,1.2,0.2,Iris-setosa
16,5.7,4.4,1.5,0.4,Iris-setosa
17,5.4,3.9,1.3,0.4,Iris-setosa
18,5.1,3.5,1.4,0.3,Iris-setosa
19,5.7,3.8,1.7,0.3,Iris-setosa
20,5.1,3.8,1.5,0.3,Iris-setosa

21,7.0,3.2,4.7,1.4,Iris-versicolor
22,6.4,3.2,4.5,1.5,Iris-versicolor
23,6.9,3.1,4.9,1.5,Iris-versicolor
24,5.5,2.3,4.0,1.3,Iris-versicolor
25,6.5,2.8,4.6,1.5,Iris-versicolor
26,5.7,2.8,4.5,1.3,Iris-versicolor
27,6.3,3.3,4.7,1.6,Iris-versicolor
28,4.9,2.4,3.3,1.0,Iris-versicolor
29,6.6,2.9,4.6,1.3,Iris-versicolor
30,5.2,2.7,3.9,1.4,Iris-versicolor
31,5.0,2.0,3.5,1.0,Iris-versicolor
32,5.9,3.0,4.2,1.5,Iris-versicolor
33,6.0,2.2,4.0,1.0,Iris-versicolor
34,6.1,2.9,4.7,1.4,Iris-versicolor
35,5.6,2.9,3.6,1.3,Iris-versicolor
36,6.7,3.1,4.4,1.4,Iris-versicolor
37,5.6,3.0,4.5,1.5,Iris-versicolor
38,5.8,2.7,4.1,1.0,Iris-versicolor
39,6.2,2.2,4.5,1.5,Iris-versicolor
40,5.6,2.5,3.9,1.1,Iris-versicolor

41,6.3,3.3,6.0,2.5,Iris-virginica
42,5.8,2.7,5.1,1.9,Iris-virginica
43,7.1,3.0,5.9,2.1,Iris-virginica
44,6.3,2.9,5.6,1.8,Iris-virginica
45,6.5,3.0,5.8,2.2,Iris-virginica
46,7.6,3.0,6.6,2.1,Iris-virginica
47,4.9,2.5,4.5,1.7,Iris-virginica
48,7.3,2.9,6.3,1.8,Iris-virginica
49,6.7,2.5,5.8,1.8,Iris-virginica
50,7.2,3.6,6.1,2.5,Iris-virginica
51,6.5,3.2,5.1,2.0,Iris-virginica
52,6.4,2.7,5.3,1.9,Iris-virginica
53,6.8,3.0,5.5,2.1,Iris-virginica
54,5.7,2.5,5.0,2.0,Iris-virginica
55,5.8,2.8,5.1,2.4,Iris-virginica
56,6.4,3.2,5.3,2.3,Iris-virginica
57,6.5,3.0,5.5,1.8,Iris-virginica
58,7.7,3.8,6.7,2.2,Iris-virginica
59,7.7,2.6,6.9,2.3,Iris-virginica
60,6.0,2.2,5.0,1.5,Iris-virginica
